repetition;souche;plante;silique;GT;gc
2;GWc2;1;3;39;0
2;GWc2;1;4;39;0
2;GWc2;1;5;46;0
2;GWc2;2;1;59;1
2;GWc2;2;2;42;0
2;GWc2;2;3;53;0
2;GWc2;2;4;52;8
2;GWc2;2;5;46;0
2;GWc2;3;1;15;1
2;GWc2;3;2;8;0
2;GWc2;3;3;23;0
2;GWc2;3;4;50;0
2;GWc2;3;5;34;0
3;A43;1;1;24;3
3;A43;1;2;43;17
3;A43;1;3;49;13
3;A43;1;4;35;13
3;A43;1;5;38;14
3;A43;2;1;14;4
3;A43;2;2;42;9
3;A43;2;3;52;11
3;A43;2;4;34;14
3;A43;2;5;30;0
3;A43;3;1;54;31
3;A43;3;2;19;4
3;A43;3;3;61;4
3;A43;3;4;47;28
3;A43;3;5;61;29
3;GG;1;1;44;37
3;GG;1;2;41;4
3;GG;1;3;50;14
3;GG;1;4;24;5
3;GG;1;5;19;0
3;GG;2;1;48;39
3;GG;2;2;14;12
3;GG;2;3;20;16
3;GG;2;4;40;6
3;GG;2;5;33;15
3;GG;3;1;22;4
3;GG;3;2;29;25
3;GG;3;3;55;44
3;GG;3;4;46;38
3;GG;3;5;42;25
3;GGc1;1;1;22;6
3;GGc1;1;2;48;16
3;GGc1;1;3;29;12
3;GGc1;1;4;39;20
3;GGc1;1;5;2;0
3;GGc1;2;1;17;13
3;GGc1;2;2;NA;NA
3;GGc1;2;3;49;41
3;GGc1;2;4;48;17
3;GGc1;2;5;7;7
3;GGc1;3;1;36;29
3;GGc1;3;2;27;12
3;GGc1;3;3;54;31
3;GGc1;3;4;45;7
3;GGc1;3;5;39;13
3;GGc2;1;1;3;2
3;GGc2;1;2;44;0
3;GGc2;1;3;28;21
3;GGc2;1;4;41;26
3;GGc2;1;5;40;17
3;GGc2;2;1;7;0
3;GGc2;2;2;48;29
3;GGc2;2;3;42;21
3;GGc2;2;4;33;15
3;GGc2;2;5;36;15
3;GGc2;3;1;49;12
3;GGc2;3;2;49;25
3;GGc2;3;3;32;7
3;GGc2;3;4;42;0
3;GGc2;3;5;34;9
3;GW;1;1;41;1
3;GW;1;2;30;0
3;GW;1;3;40;0
3;GW;1;4;28;0
3;GW;1;5;28;0
3;GW;2;1;43;0
3;GW;2;2;5;0
3;GW;2;3;57;0
3;GW;2;4;38;0
3;GW;2;5;52;0
3;GW;3;1;48;0
3;GW;3;2;41;0
3;GW;3;3;38;0
3;GW;3;4;20;0
3;GW;3;5;24;0
3;GWc1;1;1;40;0
3;GWc1;1;2;59;0
3;GWc1;1;3;60;0
3;GWc1;1;4;29;0
3;GWc1;1;5;60;0
3;GWc1;2;1;8;0
3;GWc1;2;2;38;0
3;GWc1;2;3;42;0
3;GWc1;2;4;38;0
3;GWc1;2;5;21;0
3;GWc1;3;1;44;1
3;GWc1;3;2;63;0
3;GWc1;3;3;50;0
3;GWc1;3;4;61;0
3;GWc1;3;5;57;0
3;GWc2;1;1;7;0
3;GWc2;1;2;27;0
3;GWc2;1;3;8;0
3;GWc2;1;4;10;0
3;GWc2;1;5;38;0
3;GWc2;2;1;38;0
3;GWc2;2;2;5;0
3;GWc2;2;3;51;0
3;GWc2;2;4;39;0
3;GWc2;2;5;28;0
3;GWc2;3;1;27;13
3;GWc2;3;2;20;0
3;GWc2;3;3;67;8
3;GWc2;3;4;67;1
3;GWc2;3;5;54;5
