Var;Rep;A43.1;GV.1;GVc1.1;A43.3;GB.3;GBc.3
Counter;1;1025;0;3312;NA;NA;NA
Counter;1;15539;0;8511;NA;NA;NA
Counter;1;94458;0;44633;NA;NA;NA
Counter;1;NA;NA;NA;NA;NA;NA
Counter;1;NA;NA;NA;NA;NA;NA
Counter;1;NA;NA;NA;NA;NA;NA
Counter;1;NA;NA;NA;NA;NA;NA
Counter;1;NA;NA;NA;NA;NA;NA
Expect;1;3430;46;35486;NA;NA;NA
Expect;1;273;0;28864;NA;NA;NA
Expect;1;21607;0;2949;NA;NA;NA
Expect;1;1458;0;21711;NA;NA;NA
Expect;1;NA;NA;NA;NA;NA;NA
Expect;1;NA;NA;NA;NA;NA;NA
Expect;1;NA;NA;NA;NA;NA;NA
Expect;1;NA;NA;NA;NA;NA;NA
Rivera;1;9010;559;1183;NA;NA;NA
Rivera;1;104818;0;756;NA;NA;NA
Rivera;1;NA;NA;NA;NA;NA;NA
Rivera;1;NA;NA;NA;NA;NA;NA
Rivera;1;NA;NA;NA;NA;NA;NA
Rivera;1;NA;NA;NA;NA;NA;NA
Rivera;1;NA;NA;NA;NA;NA;NA
Rivera;1;NA;NA;NA;NA;NA;NA
Impala;2;884;0;684;NA;NA;NA
Impala;2;NA;NA;NA;NA;NA;NA
Impala;2;NA;NA;NA;NA;NA;NA
Impala;2;NA;NA;NA;NA;NA;NA
Impala;2;NA;NA;NA;NA;NA;NA
Impala;2;NA;NA;NA;NA;NA;NA
Impala;2;NA;NA;NA;NA;NA;NA
Impala;2;NA;NA;NA;NA;NA;NA
Counter;2;97503;340;13195;NA;NA;NA
Counter;2;3200;0;1064;NA;NA;NA
Counter;2;22308;391;35623;NA;NA;NA
Counter;2;45942;0;232;NA;NA;NA
Counter;2;NA;NA;NA;NA;NA;NA
Counter;2;NA;NA;NA;NA;NA;NA
Counter;2;NA;NA;NA;NA;NA;NA
Counter;2;NA;NA;NA;NA;NA;NA
Expect;2;NA;NA;678;NA;NA;NA
Expect;2;873;0;6152;NA;NA;NA
Expect;2;55904;0;12151;NA;NA;NA
Expect;2;NA;NA;1503;NA;NA;NA
Expect;2;NA;NA;NA;NA;NA;NA
Expect;2;NA;NA;NA;NA;NA;NA
Expect;2;NA;NA;NA;NA;NA;NA
Expect;2;NA;NA;NA;NA;NA;NA
Rivera;2;32021;0;6706;NA;NA;NA
Rivera;2;170;0;9508;NA;NA;NA
Rivera;2;78661;0;29603;NA;NA;NA
Rivera;2;NA;NA;NA;NA;NA;NA
